date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:32	373/373	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Apr%202021%2014:51:31%20GMT	http://sonmay.ru/robots.txt		(from )
17:51:33	199364/199364	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Apr%202021%2014:51:31%20GMT	http://sonmay.ru/	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/index.html	(from )
17:51:33	8224/8224	---MCZ	200	added ('OK')	text/css	etag:W/%221a4b22-2020-5bb6567111d92%22	http://sonmay.ru/files/fancybox27c44.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/fancybox27c44.css	(from http://sonmay.ru/)
17:51:33	15675/15675	---MCZ	200	added ('OK')	text/css	etag:W/%221a4b2b-3d3b-5bb6567116f9a%22	http://sonmay.ru/files/bootstrap-grid.min86143.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/bootstrap-grid.min86143.css	(from http://sonmay.ru/)
17:51:34	10384/10384	---MCZ	200	added ('OK')	text/css	etag:W/%221a4a05-2890-5bb65670a4780%22	http://sonmay.ru/files/cssba3e2.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/cssba3e2.css	(from http://sonmay.ru/)
17:51:34	207/207	---MCZ	200	added ('OK')	text/css	etag:W/%221a4a8a-cf-5bb65670ea8a3%22	http://sonmay.ru/files/fonts6c734.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/fonts6c734.css	(from http://sonmay.ru/)
17:51:34	102415/102415	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221a4b25-1900f-5bb6567114c72%22	http://sonmay.ru/files/favicon50897.ico	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/favicon50897.ico	(from http://sonmay.ru/)
17:51:35	3915/3915	---MCZ	200	added ('OK')	text/css	etag:W/%221a4a78-f4b-5bb65670e5e6b%22	http://sonmay.ru/files/jquery.fancybox.minc8f17.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/jquery.fancybox.minc8f17.css	(from http://sonmay.ru/)
17:51:35	36260/36260	---MCZ	200	added ('OK')	text/css	etag:W/%221a49c3-8da4-5bb6567072e80%22	http://sonmay.ru/files/app.min27427.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/app.min27427.css	(from http://sonmay.ru/)
17:51:35	8640/8640	---MCZ	200	added ('OK')	text/css	etag:W/%221a4a15-21c0-5bb65670b06ea%22	http://sonmay.ru/files/main40cf0.css	C:/Users/Maxim/Documents/My%20Web%20Sites/http___sonmay.ru_/sonmay.ru/files/main40cf0.css	(from http://sonmay.ru/)
