date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:35	107/107	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Sep%202021%2012:26:32%20GMT	https://woman-jackets-tt.online-shop2021.com/robots.txt		(from )
15:26:35	17537/17537	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2012:26:33%20GMT	https://woman-jackets-tt.online-shop2021.com/	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/index.html	(from )
15:26:35	554/554	---M--	200	added ('OK')	image/x-icon	etag:%226130c020-22a%22	https://woman-jackets-tt.online-shop2021.com/favicon19b61.ico	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/favicon19b61.ico	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:36	1292/1292	---M--	200	added ('OK')	text/css	etag:%226130c3ef-50c%22	https://woman-jackets-tt.online-shop2021.com/css/MuseoSansd6ed0.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/css/MuseoSansd6ed0.css	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:36	2951/2951	---M--	200	added ('OK')	text/css	etag:%226130c3ef-b87%22	https://woman-jackets-tt.online-shop2021.com/css/owl.carousel.mine2943.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/css/owl.carousel.mine2943.css	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:36	14147/14147	---M--	200	added ('OK')	text/css	etag:%226130c3ef-3743%22	https://woman-jackets-tt.online-shop2021.com/css/jquery.fancybox.min86de7.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/css/jquery.fancybox.min86de7.css	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:36	18534/18534	---M--	200	added ('OK')	text/css	etag:%226130c3f0-4866%22	https://woman-jackets-tt.online-shop2021.com/css/styles298ef.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/css/styles298ef.css	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:38	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/code.jquery.com/jquery-3.4.1.js	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:38	608/608	---M--	200	added ('OK')	application/javascript	etag:%226130c297-260%22	https://woman-jackets-tt.online-shop2021.com/js/cart.js	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/woman-jackets-tt.online-shop2021.com/js/cart.js	(from https://woman-jackets-tt.online-shop2021.com/)
15:26:38	2390/2390	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-956%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___woman-jackets-tt.online-shop2021.com_/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css	(from https://woman-jackets-tt.online-shop2021.com/)
