date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:58	107/107	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Aug%202021%2016:19:56%20GMT	https://binoculars-sale.bestsales2020.ru/robots.txt		(from )
19:19:58	242027/242027	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2008%20Aug%202021%2016:19:57%20GMT	https://binoculars-sale.bestsales2020.ru/	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/index.html	(from )
19:19:58	3845/3845	U-----	200	untouched ('OK')	text/css	etag:%22604b7f58-f05%22	https://binoculars-sale.bestsales2020.ru/js/slider/owlCarousel-2.2.1/owl.carousel.min.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/js/slider/owlCarousel-2.2.1/owl.carousel.min.css	(from https://binoculars-sale.bestsales2020.ru/)
19:19:58	1066/1066	U-----	200	untouched ('OK')	text/css	etag:%22604b7f42-42a%22	https://binoculars-sale.bestsales2020.ru/fonts/MuseoSans/MuseoSans.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/fonts/MuseoSans/MuseoSans.css	(from https://binoculars-sale.bestsales2020.ru/)
19:19:59	17723/17723	U-----	200	untouched ('OK')	text/css	etag:%22604b7f59-453b%22	https://binoculars-sale.bestsales2020.ru/js/slider/fancybox-3/jquery.fancybox.min.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/js/slider/fancybox-3/jquery.fancybox.min.css	(from https://binoculars-sale.bestsales2020.ru/)
19:19:59	23488/23488	U-----	200	untouched ('OK')	text/css	etag:%22604b7f41-5bc0%22	https://binoculars-sale.bestsales2020.ru/css/styles.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/css/styles.css	(from https://binoculars-sale.bestsales2020.ru/)
19:19:59	1776/1776	U-----	200	untouched ('OK')	text/css	etag:%22604b7f41-6f0%22	https://binoculars-sale.bestsales2020.ru/css/slick.css	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/css/slick.css	(from https://binoculars-sale.bestsales2020.ru/)
19:19:59	85578/85578	U-----	200	untouched ('')	application/javascript	etag:%22604b7f57-14e4a%22	https://binoculars-sale.bestsales2020.ru/js/jquery-2.2.4.min.js	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/js/jquery-2.2.4.min.js	(from https://binoculars-sale.bestsales2020.ru/)
19:20:00	42863/42863	U-----	200	untouched ('')	application/javascript	etag:%22604b7f57-a76f%22	https://binoculars-sale.bestsales2020.ru/js/slick.min.js	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/js/slick.min.js	(from https://binoculars-sale.bestsales2020.ru/)
19:20:00	8346/8346	U-----	200	untouched ('')	application/javascript	etag:%22604b7f57-209a%22	https://binoculars-sale.bestsales2020.ru/js/blazy.min.js	C:/Users/Maxim/Documents/My%20Web%20Sites/https___binoculars-sale.bestsales2020.ru_/binoculars-sale.bestsales2020.ru/js/blazy.min.js	(from https://binoculars-sale.bestsales2020.ru/)
